9 321 4372
0 104 -0.0647451 -0.263478
1 104 -0.176283 -0.187421
0 105 0.487873 0.0863868
1 105 0.358591 0.154839
0 106 0.406755 0.0965278
1 106 0.280008 0.163712
0 107 0.41943 0.099063
1 107 0.290148 0.16498
0 108 0.459989 -0.0834753
1 108 0.323102 -0.00995293
0 109 0.432105 -0.124039
1 109 0.29902 -0.0496719
0 110 -0.29796 -0.162068
1 110 -0.401893 -0.0936163
0 111 -0.280216 -0.245732
1 111 -0.386683 -0.172209
0 112 0.297752 -0.0657285
1 112 0.184947 0.00314585
0 113 0.418923 0.0975419
1 113 0.291162 0.164473
0 114 -0.204674 -0.0789118
1 114 -0.32331 -0.0124882
0 115 0.397629 0.0914573
1 115 0.269868 0.158388
0 116 0.145149 0.12188
1 116 0.00521947 0.185769
0 117 0.38242 -0.0393619
1 117 0.2577 0.0306112
0 118 -0.0951644 -0.273619
1 118 -0.201632 -0.197562
0 119 0.415881 0.0853727
1 119 0.28812 0.152303
0 120 0.300287 -0.0576157
1 120 0.17861 0.0123573
0 121 0.412839 -0.267535
1 121 0.263784 -0.185393
0 122 0.440216 -0.1428
1 122 0.305357 -0.0682638
0 123 0.443258 -0.0910811
1 123 0.309413 -0.0180657
0 124 0.418314 0.096325
1 124 0.290553 0.162039
0 125 0.440216 -0.140975
1 125 0.303329 -0.0667426
0 126 0.385462 0.0780712
1 126 0.2577 0.143785
0 127 -0.0963812 -0.272402
1 127 -0.202241 -0.195736
0 128 0.443867 -0.0935149
1 128 0.308805 -0.0204996
0 129 0.418314 0.0853727
1 129 0.290553 0.151087
0 130 -0.3081 -0.181133
1 130 -0.413959 -0.111769
0 131 -0.31175 -0.188435
1 131 -0.41761 -0.11907
0 132 0.389112 -0.265101
1 132 0.243099 -0.184784
0 133 0.414664 -0.268752
1 133 0.261351 -0.184784
0 134 -0.297149 -0.162879
1 134 -0.4024 -0.0941234
2 0 0.333971 0.0286777
2 1 -0.368958 0.0908282
2 2 0.14143 0.270148
2 3 -0.384239 0.0602624
2 4 0.399171 -0.127208
2 5 0.469463 0.191696
2 6 -0.0633366 -0.163887
2 7 0.135725 0.291952
2 8 -0.376089 0.188639
2 9 -0.381183 0.18762
2 10 -0.395445 0.183545
2 11 0.237191 0.233469
2 12 0.333971 0.0215456
2 13 -0.394426 0.179469
2 14 0.396114 -0.0222654
2 15 -0.0511117 -0.159812
2 16 -0.23041 -0.14351
2 17 0.378796 -0.0986801
2 18 0.239229 0.233469
2 19 -0.482853 0.0657643
2 20 0.486782 0.0144136
2 21 0.482707 0.0582247
2 22 -0.116107 0.0510926
2 23 -0.0525379 -0.1592
2 24 0.0548371 -0.0456993
2 25 0.402227 -0.0884914
2 26 0.153655 0.271167
2 27 0.369627 -0.084416
2 28 -0.387499 0.0767679
2 29 -0.397483 0.194752
2 30 0.36922 -0.0846198
2 31 -0.453513 0.00585516
2 32 -0.288478 0.0358097
2 33 0.333523 0.0217494
2 34 -0.0449993 -0.146567
2 35 0.529569 0.17845
2 36 -0.239578 -0.129857
2 37 0.470686 -0.15431
2 38 -0.382609 0.0608737
2 39 -0.31089 0.0164513
2 40 -0.369162 0.0902169
2 41 -0.327597 -0.0430502
2 42 -0.124461 0.0358097
2 43 0.484622 -0.16458
2 44 0.401004 -0.123744
2 45 0.0367035 -0.0222654
2 46 0.140615 0.269944
2 47 -0.452495 0.00728156
2 48 -0.0698972 0.0188151
2 49 -0.377964 0.189006
2 50 0.395136 -0.0207983
2 51 -0.384712 0.0601891
2 52 0.447948 0.186071
2 53 -0.483586 0.0657643
2 54 -0.421973 0.00120915
2 55 0.53181 0.177024
2 56 0.465552 -0.149908
2 57 0.518363 0.0481583
2 58 -0.0537604 -0.116164
2 59 0.233768 0.230086
2 60 -0.474784 0.081903
2 61 -0.401435 0.197809
2 62 0.0371926 -0.0222654
2 63 0.464085 0.186071
2 64 0.414452 -0.00514854
2 65 0.440124 0.0608737
2 66 0.173622 0.231553
2 67 -0.326619 -0.0119953
2 68 -0.0329781 -0.162868
2 69 -0.380898 0.19194
2 70 -0.229798 -0.14404
2 71 -0.382951 0.0707526
2 72 -0.369162 0.090706
2 73 0.241983 0.229206
2 74 -0.066083 0.0249772
2 75 -0.32838 -0.0119953
2 76 -0.379431 0.188712
2 77 -0.0449585 -0.188055
2 78 -0.0115112 -0.170449
2 79 0.182131 0.229206
2 80 0.396897 -0.126434
2 81 -0.32838 -0.0419253
2 82 0.446187 0.185191
2 83 -0.397034 0.287306
2 84 0.377533 -0.0982644
2 85 0.465552 -0.151082
2 86 0.463791 -0.151082
2 87 0.370491 -0.0841796
2 88 -0.385416 0.0749781
2 89 -0.383303 0.0686399
2 90 -0.469914 0.0876543
2 91 0.439146 0.18167
2 92 -0.395978 0.178501
2 93 0.438442 0.0580764
2 94 -0.125584 0.0200476
2 95 0.180722 0.229206
2 96 -0.0558728 -0.161646
2 97 0.396193 -0.127842
2 98 0.470129 0.0115967
2 99 0.469072 0.190473
2 100 0.0391877 -0.020094
2 101 -0.482589 0.0686399
2 102 0.469072 0.012653
2 103 -0.0622102 -0.165871
2 104 -0.386683 0.0762457
2 105 -0.470337 0.0838515
2 106 -0.32838 -0.0116431
2 107 -0.386683 0.0610342
2 108 -0.0140461 -0.172209
2 109 -0.385416 0.0601891
2 110 -0.069815 0.0255406
2 111 0.396615 -0.126575
2 112 0.0560874 -0.0454465
2 113 -0.238135 -0.170181
2 114 -0.0444655 -0.187421
2 115 -0.256387 -0.0697849
2 116 0.394587 -0.127589
2 117 -0.38719 0.0640765
2 118 -0.115444 0.0331464
2 119 -0.332435 -0.0424042
2 120 -0.0495353 -0.185393
2 121 -0.0617031 0.0123573
2 122 0.480269 -0.162068
2 123 0.449342 -0.161054
2 124 0.374511 -0.0825626
2 125 -0.137752 -0.00589648
2 126 0.0459814 -0.0497057
2 127 -0.238744 -0.170181
2 128 -0.136535 -0.00589648
2 129 -0.322701 -0.0570072
2 130 -0.41761 -0.0241503
2 131 -0.260646 0.034262
2 132 -0.457763 0.00505582
2 133 -0.140185 0.0196589
2 134 0.443258 0.185769
0 135 -0.00934343 -0.113963
2 135 0.0364998 -0.0222654
0 136 0.398152 0.0949037
2 136 0.445014 0.186601
0 137 -0.358771 -0.106831
2 137 -0.326375 -0.0112617
0 138 0.425658 0.0979603
2 138 0.471501 0.189658
0 26 0.0792868 0.162149
0 139 0.385927 0.0887905
2 139 0.433808 0.180488
0 140 -0.10103 -0.25049
2 140 -0.0513154 -0.161646
0 141 0.391021 0.0898094
2 141 0.438901 0.181507
0 142 0.402227 -0.252528
2 142 0.466407 -0.148604
0 143 -0.10918 -0.252528
2 143 -0.0625623 -0.165167
0 144 0.304428 0.0623001
2 144 0.345177 0.152979
0 145 0.00288143 -0.195472
2 145 0.0477059 -0.105405
0 25 0.368608 -0.183246
0 146 0.21376 0.0908282
2 146 0.287109 0.191696
0 46 0.0660432 0.16113
0 52 0.401004 0.0938848
0 35 0.489023 0.0889943
2 27 -0.328086 -0.0428057
2 28 0.438901 0.181914
2 29 0.434011 0.179469
2 32 0.465796 -0.149419
2 34 0.43992 0.0582247
0 147 -0.101437 -0.249675
2 147 -0.0537604 -0.161646
0 148 0.00369647 -0.195879
2 148 0.0489284 -0.105894
2 38 -0.0696527 0.0180815
0 149 -0.466961 -0.0442728
2 149 -0.385258 0.0735076
0 150 0.412007 0.086549
2 150 0.460906 0.178247
0 151 -0.00486096 -0.21911
2 151 0.0386595 -0.130835
0 152 0.461151 -0.082419
2 152 0.508094 0.0129465
2 48 0.465552 0.19194
2 49 -0.310482 0.0158808
0 153 0.39807 -0.0354699
2 153 0.440124 0.0572058
0 154 0.0665322 0.16113
2 154 0.141348 0.2697
2 53 0.464085 0.189006
2 56 0.469952 0.19194
2 57 0.439146 0.18167
0 59 0.145749 0.121516
0 62 -0.0082839 -0.113229
0 155 0.0929379 0.118582
2 155 0.183891 0.228619
2 61 -0.121242 0.0217494
0 156 0.386334 -0.264347
2 156 0.447948 -0.161646
0 157 -0.298747 -0.161646
2 157 -0.257671 -0.0692146
0 158 -0.176987 -0.0706817
2 158 -0.111217 0.0290852
0 159 -0.499136 -0.108828
2 159 -0.42168 0.00385008
2 70 0.481688 0.0584284
0 160 -0.103051 -0.249675
2 160 -0.0546053 -0.162068
2 78 0.462031 0.178149
2 80 -0.312536 0.0161742
0 161 -0.363587 -0.136997
2 161 -0.330492 -0.0433338
