15 281 7036
2 6 0.459825 -0.468675
2 7 0.327649 -0.289138
2 8 0.0183584 -0.188809
2 9 0.0576586 -0.253935
2 10 -0.120866 -0.477475
2 11 -0.00790047 -0.28773
2 12 0.0183584 -0.218731
2 13 0.0343957 -0.0469395
2 14 0.382282 -0.0184248
2 15 0.0342194 -0.160646
2 16 0.0377441 -0.161526
2 17 0.35056 -0.103441
2 18 0.011309 -0.277697
2 19 -0.0650003 -0.435584
2 20 0.419291 -0.451073
2 21 -0.0279911 -0.276113
2 22 0.11 -0.132483
2 23 0.0183584 -0.084959
2 24 0.28923 -0.158886
2 25 0.332584 -0.120866
2 26 0.019592 -0.0796786
2 27 0.168686 -0.200074
2 28 0.0185346 -0.188457
2 29 0.0946678 -0.113474
2 30 0.327085 -0.268931
2 31 0.21204 -0.250766
2 32 0.21204 -0.262383
2 33 0.0280513 -0.0754541
2 34 0.362896 -0.0154326
2 35 0.23636 -0.271888
2 36 0.290288 -0.115586
2 37 0.0280513 -0.170503
2 38 0.0362568 -0.157914
2 39 0.340789 -0.3252
2 40 0.438747 -0.457762
2 41 0.211617 -0.251189
2 42 0.168728 -0.200496
2 43 0.33343 -0.120655
2 44 0.0225528 -0.244852
2 45 0.200197 -0.438752
2 46 0.064426 -0.274001
2 47 0.192583 -0.300614
2 48 0.0819789 -0.260271
2 49 0.342312 -0.325961
2 50 0.295109 -0.151831
2 51 0.183701 -0.129526
2 52 0.168475 -0.200496
2 53 0.106299 -0.291743
2 54 0.0162084 -0.0877049
2 55 0.0650604 -0.272944
2 56 0.193091 -0.300868
2 57 0.301708 -0.147269
2 58 0.0393021 -0.22787
2 59 0.0316888 -0.16856
2 60 0.0265117 -0.173122
2 61 0.333176 -0.121416
2 62 0.0301661 -0.163997
2 63 0.0560514 -0.253723
2 64 0.0301661 -0.224829
2 65 0.107822 -0.13054
2 66 0.231158 -0.253723
2 67 0.106299 -0.291743
2 68 0.0301661 -0.226045
2 69 0.295109 -0.158523
2 70 0.289628 -0.114724
2 71 0.075846 -0.262544
2 72 0.0246845 -0.0764004
2 73 0.0356477 -0.156698
2 74 0.439762 -0.457508
2 75 0.304245 -0.211446
2 76 0.448594 -0.446863
2 77 0.462644 -0.470435
2 78 0.0795004 -0.262544
2 79 0.0082398 -0.23517
2 80 0.0184721 -0.0815102
2 81 0.296937 -0.151588
2 82 0.0294353 -0.226045
2 83 0.0206648 -0.243565
2 84 0.448228 -0.447228
2 85 0.340789 -0.322402
2 86 0.0097016 -0.118739
2 87 0.320617 -0.281669
2 88 0.207477 -0.250134
2 89 0.339035 -0.321088
2 90 0.00750898 -0.137134
2 91 0.323248 -0.26853
2 92 0.327984 -0.29113
2 93 0.386396 -0.0162504
2 94 0.0217173 -0.0766923
2 95 0.451123 -0.448804
2 96 0.208003 -0.253288
2 97 0.375345 -0.0230829
2 98 0.195374 -0.306897
0 99 0.0210019 -0.254815
2 99 0.00866551 -0.279457
2 5 0.291521 -0.160646
2 6 0.354965 -0.0171928
0 100 0.0245266 -0.219612
2 100 0.0201207 -0.240733
2 11 0.317956 -0.135124
0 101 0.296808 -0.211691
2 101 0.276541 -0.233693
0 3 0.325006 -0.273297
2 15 0.0254077 -0.0796786
2 16 0.0201207 -0.0796786
0 102 0.301214 -0.196729
2 102 0.284472 -0.216091
0 103 0.3814 -0.084959
2 103 0.332936 -0.121042
0 104 0.299452 -0.195849
2 104 0.282709 -0.215211
2 17 0.0950202 -0.113122
2 21 0.355847 -0.0224733
0 105 -0.0163597 -0.248654
2 105 -0.0283436 -0.275057
0 106 0.40343 0.0174825
2 106 0.354789 -0.0173687
2 24 0.0185346 -0.0828468
0 107 0.128505 -0.0701736
2 107 0.0925529 -0.110305
0 33 0.0407401 -0.0437712
2 26 0.0312235 -0.158886
2 28 0.291345 -0.160998
2 32 0.315665 -0.272944
0 29 0.130619 -0.073342
0 44 0.0269939 -0.224364
0 108 0.0629456 -0.121922
2 108 0.0354531 -0.158886
0 109 0.404487 0.0143142
2 109 0.355847 -0.0215932
0 110 0.222614 -0.0912956
2 110 0.183137 -0.128083
0 111 0.403218 0.0174825
2 111 0.355001 -0.0180024
2 38 0.35627 -0.0218044
2 42 0.291556 -0.161209
0 112 0.0238217 -0.220773
2 112 0.020015 -0.24105
0 113 -0.0205893 -0.251189
2 113 -0.030106 -0.277697
2 49 0.328354 -0.288786
0 114 0.4121 0.0187498
2 114 0.363248 -0.0163127
2 51 0.0187461 -0.0826356
0 115 0.240801 -0.237248
2 115 0.233789 -0.252762
0 116 -0.0216044 -0.250682
2 116 -0.0320093 -0.277803
2 57 0.106475 -0.290898
0 117 0.0164622 -0.230912
2 117 0.00884883 -0.253723
2 62 0.0195075 -0.0818752
0 118 0.435194 0.0184964
2 118 0.381901 -0.0195232
0 119 0.127616 -0.0712297
2 119 0.0895499 -0.112291
0 50 0.327085 -0.124457
0 120 0.322517 -0.133582
2 120 0.289628 -0.162172
0 121 0.0155486 -0.229695
2 121 0.0082398 -0.253419
2 70 0.315208 -0.271669
0 122 0.346271 -0.271669
2 122 0.327999 -0.289918
2 74 0.106299 -0.291954
0 123 -0.0173409 -0.247944
2 123 -0.027695 -0.275014
2 80 0.355407 -0.0198273
0 81 0.329826 -0.123119
2 83 0.314478 -0.272034
2 85 0.329826 -0.291743
2 86 0.0360132 -0.155968
0 124 0.0360132 -0.0442814
2 124 0.0228574 -0.0771303
0 125 0.317986 -0.0872039
2 125 0.290359 -0.114359
2 89 0.315355 -0.271158
0 126 -0.024065 -0.252762
2 126 -0.0341511 -0.278603
0 127 0.299568 -0.212292
2 127 0.278518 -0.234367
0 128 0.0722356 -0.253288
2 128 0.059606 -0.275362
0 129 0.318512 -0.0861528
2 129 0.289043 -0.113483
2 94 0.315355 -0.272209
2 98 0.29641 -0.152376
0 130 -0.0256437 -0.253288
2 130 -0.0345896 -0.279041
3 0 0.0245266 -0.216091
3 1 -0.0433235 -0.263616
3 2 0.011309 -0.0699977
3 3 0.0641792 -0.144805
3 4 0.0111328 -0.0712297
3 5 0.291521 -0.108721
3 6 0.314432 -0.00311146
3 7 0.392856 -0.436992
3 8 -0.00102736 -0.225772
3 9 0.26491 -0.13354
3 10 0.473042 -0.389467
3 11 -0.0258763 -0.205354
3 12 0.0703474 -0.173847
3 13 0.241647 -0.242318
3 14 0.0100754 -0.162054
3 15 0.308263 -0.274177
3 16 -0.222201 -0.52236
3 17 -0.0142449 -0.235453
3 18 0.339985 -0.409709
3 19 0.26491 -0.205354
3 20 0.294165 -0.107841
3 21 0.213097 -0.124035
3 22 0.265086 -0.20201
3 23 0.204285 -0.345463
3 24 0.00796059 -0.150437
3 25 0.323067 -0.00152727
3 26 0.271254 -0.520071
3 27 0.058716 -0.107137
3 28 0.0555438 -0.250766
3 29 0.267025 -0.180008
3 30 0.394082 -0.437738
3 31 -0.0131875 -0.11981
3 32 0.0618882 -0.121922
3 33 0.281828 -0.143044
3 34 -0.00807672 -0.174727
3 35 0.276541 -0.124035
3 36 0.00478837 -0.162054
3 37 0.26068 -0.137764
3 38 0.176342 -0.311513
3 39 0.101731 -0.118374
3 40 0.393067 -0.437485
3 41 -0.012976 -0.119388
3 42 0.223544 -0.122936
3 43 0.0124017 0.0631059
3 44 0.234457 -0.115586
3 45 -0.0053627 -0.109249
3 46 0.176088 -0.310753
3 47 -0.012976 -0.126992
3 48 0.278656 -0.120866
3 49 0.0111328 -0.0686951
3 50 0.187 -0.431655
3 51 0.0124017 -0.162477
3 52 -0.045967 -0.266397
3 53 0.346118 -0.00406191
3 54 0.0542749 -0.242318
3 55 0.210982 -0.124035
3 56 0.276837 -0.125978
3 57 0.00732614 -0.437485
3 58 0.0103715 -0.147269
3 59 0.00732617 -0.157914
3 60 0.0995995 -0.107424
3 61 -0.0383537 -0.174643
3 62 -0.0109458 -0.129019
3 63 0.279883 -0.121416
3 64 -0.032263 -0.240036
3 65 0.22659 -0.252203
3 66 0.211363 -0.124457
3 67 0.0819366 -0.281098
3 68 0.0173758 -0.215096
3 69 -0.0136865 -0.120199
3 70 0.00275822 -0.0745754
3 71 0.0045854 -0.434088
3 72 0.276837 -0.125674
3 73 0.0813276 -0.282618
3 74 0.0590967 -0.107728
3 75 0.335308 -0.00522781
3 76 0.010067 -0.162172
3 77 -0.00472826 -0.108193
3 78 0.26222 -0.149398
3 79 0.0064126 -0.437738
3 80 0.321056 -0.307072
3 81 0.294744 -0.256704
3 82 0.277203 -0.125309
3 83 -0.0494995 -0.265464
3 84 -0.00783949 -0.109979
3 85 0.101792 -0.118739
3 86 -0.01661 -0.234805
3 87 0.265363 -0.0898318
3 88 0.0995996 -0.108227
3 89 0.220633 -0.252762
3 90 0.0522387 -0.250134
3 91 -0.008278 -0.110855
3 92 0.280623 -0.209139
3 93 0.320617 -0.307948
3 94 0.312197 -0.278516
3 95 0.261679 -0.221753
3 96 0.00908768 -0.0703853
3 97 0.220633 -0.253288
3 98 0.226948 -0.114534
3 99 0.279185 -0.121042
3 5 -0.00631438 -0.267136
3 6 0.0562487 -0.250414
3 100 0.0694663 -0.171207
3 11 0.242176 -0.242494
3 101 0.198117 -0.238093
3 15 0.347916 -0.429951
3 16 0.00778434 -0.156246
3 102 0.223671 -0.259215
3 103 -0.00190853 -0.238973
3 104 0.276541 -0.123683
3 17 0.266848 -0.20289
3 21 0.227196 -0.252175
3 105 0.00337849 -0.209931
3 106 0.0111328 -0.151493
3 24 -0.00790047 -0.174727
3 107 0.320952 -0.0712297
3 26 0.224728 -0.256047
3 28 0.222614 -0.258159
3 32 0.308263 -0.0891834
3 108 0.226843 -0.252879
3 109 0.291345 -0.109249
3 110 0.0624169 -0.121922
3 111 0.186239 -0.431148
3 38 -0.0142449 -0.233446
3 42 0.263641 -0.148536
3 112 0.43494 -0.456494
3 113 0.00954668 -0.229292
3 49 0.269139 -0.130371
3 114 0.0121902 -0.162054
3 51 0.269985 -0.130794
3 115 0.220633 -0.242251
3 116 -0.00790047 -0.173882
3 57 -0.0116014 -0.117522
3 117 0.269224 -0.13054
3 62 0.218976 -0.241557
3 118 0.471738 -0.390594
3 119 0.264656 -0.133582
3 120 0.227503 -0.23517
3 121 0.0118942 -0.151223
3 70 0.0520925 -0.24247
3 122 -0.0155137 -0.23517
3 74 0.00373098 -0.209579
3 123 -0.0124684 -0.119895
3 80 0.258565 -0.222395
3 83 0.259662 -0.223855
3 85 0.231158 -0.114359
3 86 0.0031237 -0.0749404
3 124 0.314478 -0.00486276
3 125 0.301322 -0.256704
3 89 0.294305 -0.25539
3 126 0.0798659 -0.282983
3 127 0.299568 -0.25539
3 128 0.192216 -0.253288
3 129 0.407445 -0.426204
3 94 -0.0224862 -0.209139
3 98 0.264836 -0.0893062
3 130 0.196953 -0.239623
3 101 0.259623 -0.222252
3 16 0.00337849 -0.0717578
3 21 0.316194 -0.00751187
3 23 0.00161615 -0.0752781
0 131 0.0322809 -0.05222
3 131 0.00225062 -0.0750317
3 106 0.314608 -0.00363949
0 132 0.411889 0.0195947
3 132 0.322362 -0.0013513
3 49 0.309321 -0.275057
3 52 0.00161618 -0.0796786
3 54 0.222022 -0.256765
3 117 -0.00155604 -0.238516
3 59 0.260088 -0.221787
0 133 0.211058 -0.273494
3 133 0.175903 -0.313204
3 70 0.295109 -0.257069
3 122 0.310336 -0.276535
0 134 0.17086 -0.0909999
3 134 0.0612285 -0.122024
0 135 0.433976 0.0166715
3 135 0.337744 -0.00431534
3 80 0.315208 -0.00522781
0 136 0.169764 -0.0902698
3 136 0.0601322 -0.120929
0 80 0.296937 -0.210716
3 85 0.310092 -0.276413
0 137 0.211424 -0.276413
3 137 0.17643 -0.316358
3 124 0.00750895 -0.0683706
0 75 0.43288 0.0170365
0 138 0.258522 -0.22806
3 138 0.220633 -0.240674
4 0 0.349678 -0.396508
4 1 -0.0204131 -0.084079
4 2 -0.0195319 -0.181768
4 3 0.370826 -0.379786
4 4 -0.0216467 -0.172615
4 5 0.006022 -0.209051
4 6 0.210453 -0.249534
4 7 0.284472 0.0083296
4 8 0.213978 -0.242494
4 9 -0.0618281 -0.261327
4 10 0.00954668 -0.243374
4 11 0.269139 -0.415518
